Experiment grouping,Feature epresentation,"Including ""calculated"" features?",Classifier ype,Best hyperparameters,F1,Precision,Recall,False egatives,False positives,True negatives,True positives,tf,Unnamed: 4
classic vector space,VSM_TF,N,DT,criterion gini;random_state 42,0.67,0.71,0.63,70,50,781,120,features/df_tweetbio_tf_train_nc.pickle,
classic word embeddings,w2v300,Y,DT,criterion entropy;random_state 42,0.66,0.66,0.65,66,63,768,124,w2v_300_sum_plusCounts,
classic doc embeddings,doc2vec,N,LR,C 1;penalty l2;random_state 42,0.65,0.76,0.57,82,34,797,108,doc2vec exc_calculated,
classic vector space,calculated,Y,LR,C 1;penalty l1;random_state 42,0.65,0.83,0.53,89,20,811,101,features/df_tweet_count_features_train.pickle,
classic word embeddings,GloVe300,Y,DT,criterion entropy;random_state 42,0.65,0.69,0.61,74,52,779,116,glove_300_sum_plusCounts,
classic word embeddings,GloVe300,N,DT,criterion entropy;random_state 42,0.63,0.65,0.62,73,63,768,117,glove_300_sum,
classic doc embeddings,doc2vec,Y,DT,criterion entropy;random_state 42,0.63,0.63,0.63,70,72,759,120,doc2vec inc_calculated,
classic word embeddings,FastText300,Y,DT,criterion entropy;random_state 42,0.62,0.66,0.58,79,56,775,111,fasttext_300_sum_plusCounts,
classic word embeddings,GloVe200,N,RF,criterion entropy;random_state 42,0.62,0.90,0.47,100,10,821,90,glove_twitter200_sum,
classic vector space,VSM_count,Y,RF,criterion entropy;random_state 42,0.61,0.93,0.45,104,6,825,86,features/df_tweetbio_train.pickle,
classic word embeddings,GloVe300,N,RF,criterion entropy;random_state 42,0.61,0.93,0.45,104,6,825,86,glove_300_sum,
classic vector space,VSM_TFIDF,Y,RF,criterion gini;random_state 42,0.61,0.91,0.45,104,8,823,86,features/df_tweetbio_tfidf_train.pickle,
classic vector space,VSM_TF,Y,RF,criterion gini;random_state 42,0.61,0.91,0.45,104,8,823,86,features/df_tweetbio_tf_train.pickle,
classic vector space,VSM_TFIDF,N,RF,criterion gini;random_state 42,0.59,0.91,0.44,107,8,823,83,features/df_tweetbio_tfidf_train_nc.pickle,
classic vector space,VSM_TF,N,RF,criterion gini;random_state 42,0.59,0.91,0.44,107,8,823,83,features/df_tweetbio_tf_train_nc.pickle,
classic word embeddings,GloVe300,Y,RF,criterion entropy;random_state 42,0.59,0.91,0.43,108,8,823,82,glove_300_sum_plusCounts,
classic word embeddings,GloVe200,Y,RF,criterion entropy;random_state 42,0.58,0.94,0.42,111,5,826,79,glove_twitter200_sum_plusCounts,
classic word embeddings,FastText300,N,DT,criterion entropy;random_state 42,0.58,0.60,0.56,84,72,759,106,fasttext_300_sum,
classic word embeddings,w2v300,Y,RF,criterion entropy;random_state 42,0.57,0.93,0.42,111,6,825,79,w2v_300_sum_plusCounts,
classic word embeddings,GloVe200,N,DT,criterion gini;random_state 42,0.57,0.60,0.54,88,69,762,102,glove_twitter200_sum,
classic word embeddings,w2v300,N,DT,criterion entropy;random_state 42,0.56,0.61,0.52,92,63,768,98,w2v_300_sum,
classic word embeddings,FastText300,Y,RF,criterion entropy;random_state 42,0.55,0.89,0.40,114,9,822,76,fasttext_300_sum_plusCounts,
classic doc embeddings,doc2vec,N,RF,criterion entropy;random_state 42,0.55,0.86,0.41,113,13,818,77,doc2vec exc_calculated,
classic vector space,calculated,Y,RF,criterion entropy;random_state 42,0.54,0.82,0.40,114,17,814,76,features/df_tweet_count_features_train.pickle,
classic vector space,VSM_count,N,RF,criterion entropy;random_state 42,0.53,0.91,0.37,119,7,824,71,features/df_tweetbio_train_nc.pickle,
classic word embeddings,FastText300,N,RF,criterion gini;random_state 42,0.53,0.93,0.37,120,5,826,70,fasttext_300_sum,
classic doc embeddings,doc2vec,Y,RF,criterion gini;random_state 42,0.52,0.86,0.37,119,12,819,71,doc2vec inc_calculated,
classic word embeddings,w2v300,N,RF,criterion entropy;random_state 42,0.52,0.90,0.36,121,8,823,69,w2v_300_sum,
classic doc embeddings,doc2vec,N,DT,criterion entropy;random_state 42,0.52,0.52,0.52,92,92,739,98,doc2vec exc_calculated,
classic vector space,calculated,Y,DT,criterion gini;random_state 42,0.45,0.46,0.43,108,96,735,82,features/df_tweet_count_features_train.pickle,
