,Unnamed: 0,acc,auc_sc,bp,f_1,fn,fp,name,p,r,tf,tn,tp
0,,0.9353574926542605,0.8709734625372094,C 1;penalty l2;random_state 42,0.8156424581005587,44.0,22.0,lr,0.8690476190476191,0.7684210526315789,glove_300_sum,809.0,146.0
1,,0.8667972575905974,0.7699885996579897,criterion entropy;random_state 42,0.6324324324324324,73.0,63.0,dt,0.65,0.6157894736842106,glove_300_sum,768.0,117.0
2,,0.8922624877571009,0.7227056811704352,criterion entropy;random_state 42,0.6099290780141844,104.0,6.0,rf,0.9347826086956522,0.45263157894736844,glove_300_sum,825.0,86.0
3,,0.9392752203721841,0.8754100956362024,C 0.1;kernel linear;random_state 42,0.8258426966292135,43.0,19.0,svm,0.8855421686746988,0.7736842105263158,glove_300_sum,812.0,147.0
4,,0.951028403525955,0.8948096776236621,C 0.05;penalty l2;random_state 42,0.8595505617977528,37.0,13.0,lr,0.9216867469879518,0.8052631578947368,glove_300_sum_plusCounts,818.0,153.0
5,,0.8795298726738492,0.7798403952118564,criterion entropy;random_state 42,0.6573816155988857,72.0,51.0,dt,0.6982248520710059,0.6210526315789474,glove_300_sum_plusCounts,780.0,118.0
6,,0.8844270323212536,0.7057128380518083,criterion entropy;random_state 42,0.5755395683453236,110.0,8.0,rf,0.9090909090909091,0.42105263157894735,glove_300_sum_plusCounts,823.0,80.0
7,,0.951028403525955,0.9049591487744632,C 0.1;kernel linear;random_state 42,0.8633879781420765,32.0,18.0,svm,0.8977272727272727,0.8315789473684211,glove_300_sum_plusCounts,813.0,158.0
0,,0.9177277179236043,0.8236050414845778,C 0.05;penalty l2;random_state 42,0.7529411764705883,62.0,22.0,lr,0.8533333333333334,0.6736842105263158,glove_twitter200_sum,809.0,128.0
1,,0.8462291870714985,0.7269048071442143,criterion gini;random_state 42,0.5650969529085872,88.0,69.0,dt,0.5964912280701754,0.5368421052631579,glove_twitter200_sum,762.0,102.0
2,,0.8922624877571009,0.730825258091076,criterion entropy;random_state 42,0.6206896551724138,100.0,10.0,rf,0.9,0.47368421052631576,glove_twitter200_sum,821.0,90.0
3,,0.9294809010773751,0.8490943061625182,C 10;kernel rbf;random_state 42,0.791907514450867,53.0,19.0,svm,0.8782051282051282,0.7210526315789474,glove_twitter200_sum,812.0,137.0
4,,0.9245837414299706,0.8542054594971182,C 1;penalty l1;random_state 42,0.785515320334262,49.0,28.0,lr,0.834319526627219,0.7421052631578947,glove_twitter200_sum_plusCounts,803.0,141.0
5,,0.8942213516160626,0.821343973652543,criterion entropy;random_state 42,0.7127659574468086,56.0,52.0,dt,0.7204301075268817,0.7052631578947368,glove_twitter200_sum_plusCounts,779.0,134.0
6,,0.8883447600391773,0.7202989423016024,criterion gini;random_state 42,0.6013986013986015,104.0,10.0,rf,0.8958333333333334,0.45263157894736844,glove_twitter200_sum_plusCounts,821.0,86.0
7,,0.9177277179236043,0.8520235607068213,C 10;kernel linear;random_state 42,0.7717391304347826,48.0,36.0,svm,0.797752808988764,0.7473684210526316,glove_twitter200_sum_plusCounts,795.0,142.0
8,,0.931439764936337,0.8543574640572552,ensemble,0.7988505747126436,51.0,19.0,ensemble,0.879746835443038,0.7315789473684211,glove_twitter200_sum,812.0,139.0
9,,0.920666013712047,0.8396193552473241,ensemble,0.7692307692307693,55.0,26.0,ensemble,0.8385093167701864,0.7105263157894737,glove_twitter200_sum_plusCounts,805.0,135.0
0,,0.9275220372184133,0.8641300905693837,C 0.5;penalty l2;random_state 42,0.7967032967032968,45.0,29.0,lr,0.8333333333333334,0.7631578947368421,w2v_300_sum,802.0,145.0
1,,0.8481880509304603,0.7199885996579899,criterion entropy;random_state 42,0.5584045584045585,92.0,63.0,dt,0.6086956521739131,0.5157894736842106,w2v_300_sum,768.0,98.0
2,,0.8736532810969637,0.6767654696307557,criterion entropy;random_state 42,0.5168539325842697,121.0,8.0,rf,0.8961038961038961,0.3631578947368421,w2v_300_sum,823.0,69.0
3,,0.9490695396669931,0.8895465197289253,C 10;kernel rbf;random_state 42,0.8531073446327684,39.0,13.0,svm,0.9207317073170732,0.7947368421052632,w2v_300_sum,818.0,151.0
4,,0.9324191968658179,0.8793178795363862,C 1;penalty l2;random_state 42,0.8140161725067386,39.0,30.0,lr,0.8342541436464088,0.7947368421052632,w2v_300_sum_plusCounts,801.0,151.0
5,,0.8756121449559255,0.7835233390335044,criterion entropy;random_state 42,0.6558265582655826,69.0,58.0,dt,0.6759776536312849,0.6368421052631579,w2v_300_sum_plusCounts,773.0,121.0
6,,0.8824681684622919,0.7024795743872315,criterion entropy;random_state 42,0.5683453237410072,111.0,9.0,rf,0.8977272727272727,0.41578947368421054,w2v_300_sum_plusCounts,822.0,79.0
7,,0.9578844270323212,0.9132307302552409,C 10;kernel rbf;random_state 42,0.8815426997245179,30.0,13.0,svm,0.9248554913294798,0.8421052631578947,w2v_300_sum_plusCounts,818.0,160.0
8,,0.9431929480901078,0.8839065171955159,ensemble,0.8379888268156424,40.0,18.0,ensemble,0.8928571428571429,0.7894736842105263,w2v_300_sum,813.0,150.0
9,,0.9451518119490695,0.899319146241054,ensemble,0.8486486486486485,33.0,23.0,ensemble,0.8722222222222222,0.8263157894736842,w2v_300_sum_plusCounts,808.0,157.0
